thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,2,Main,23,1.4806971000007252,up,1,90,up,0.35346938775510206,0.8,1.0532647999998517,4.995792857743354,2.8613318869588267,conf,0.5,10,30,M,R,
,,2,Main,24,1.4806971000007252,[],0,90,up,0.5353061224489796,None,None,None,2.3447492355584987,None,None,10,30,M,R,
,,2,Main,25,1.8199908999995387,down,1,270,down,0.49489795918367346,0.92,1.4009213999997883,4.77187441967622,2.740917183070337,conf,0.5,10,30,M,R,
,,2,Main,26,0.9064828000000489,up,1,90,up,0.5959183673469388,0.7,0.8488035999998829,2.4919160738182895,2.158294659865246,conf,0.5,10,30,M,R,
,,2,Main,27,0.7903557999998156,up,1,90,up,0.676734693877551,0.95,1.2296493000003466,2.811382482654315,1.619380210640708,conf,0.5,10,30,M,R,
,,2,Main,28,1.7295144999998229,up,1,90,up,0.39387755102040817,0.67,0.8478907999997318,4.8842547275020625,2.38278757908201,conf,0.5,10,30,M,R,
,,2,Main,29,1.5849788000004992,down,1,270,down,0.2120408163265306,0.63,0.8662181999998211,3.2186055577326735,3.953193543147329,conf,0.5,10,30,M,R,
,,2,Main,30,1.2139023999998244,down,1,270,down,0.4746938775510204,0.75,0.9281705000003058,2.4699347921485684,1.9377628828182143,conf,0.5,10,30,M,R,
,,2,Main,31,1.2096380000002682,down,1,270,down,0.45448979591836736,0.81,1.1028144000001703,3.408180890831769,3.5207162620685724,conf,0.5,10,30,M,R,
,,2,Main,32,0.8432371999997486,down,1,270,down,0.9191836734693878,0.86,1.0950874999998632,4.833894438545525,2.4280811834336102,conf,0.5,10,30,M,R,
,,2,Main,33,0.9207637999998042,up,1,90,up,0.7373469387755102,0.74,1.0061646000003748,3.3667169449276733,2.3897049477284167,conf,0.5,10,30,M,R,
,,2,Main,34,0.7765447000001586,up,1,90,up,1.0,0.91,1.2215641000002506,4.306525097393534,2.048531656836959,conf,0.5,10,30,M,R,
,,2,Main,35,0.9343132000003607,down,1,270,down,0.45448979591836736,0.66,0.7660785999996733,4.46980589141098,3.049164483200058,conf,0.5,10,30,M,R,
,,2,Main,36,0.8159095999999408,up,1,90,up,0.7373469387755102,0.98,1.2790435000006255,3.67182173217959,2.633491179386681,conf,0.5,10,30,M,R,
,,2,Main,37,1.0985068999998475,down,1,270,down,0.4342857142857143,0.88,1.4828594000000521,4.435646988711861,3.566064673540295,conf,0.5,10,30,M,R,
,,2,Main,38,1.7175815000000512,down,1,270,down,0.49489795918367346,0.79,1.5213592000000062,2.8303280718552104,3.083115305745753,conf,0.5,10,30,M,R,
,,2,Main,39,0.9509170999999697,up,1,90,up,0.4342857142857143,0.83,1.1707546999996339,4.0991872435323895,3.201042103387347,conf,0.5,10,30,M,R,
,,2,Main,40,1.1984504000001834,up,1,90,up,0.2120408163265306,0.64,0.7419432000006054,3.090228016753314,2.820680461049548,conf,0.5,10,30,M,R,
,,2,Main,41,0.8952102000002924,down,1,270,down,0.49489795918367346,0.71,0.8900174999998853,2.972169681159756,1.9871209078583427,conf,0.5,10,30,M,R,
,,2,Main,42,0.8438174000002618,up,1,90,up,1.0,1.0,1.3741080999998303,2.1874128634924555,2.8882155101156908,conf,0.5,10,30,M,R,
,,2,Main,43,0.8436885999999504,down,1,270,down,0.5555102040816327,1.0,1.4773295999993934,4.753173808931933,3.4871238097928443,conf,0.5,10,30,M,R,
,,2,Main,44,0.9283703000000969,up,1,90,up,0.5555102040816327,0.83,1.0275473000001512,2.985250769037705,3.343527061969535,conf,0.5,10,30,M,R,
,,2,Main,45,0.8399999000002936,up,1,90,up,0.676734693877551,0.88,1.1280808000001343,2.3956564104354836,3.4665850932159423,conf,0.5,10,30,M,R,
,,3,Main,0,0.8399999000002936,[],0,90,up,0.09081632653061224,None,None,None,1.9630925300832665,None,None,10,30,M,R,
,,3,Main,1,0.7973245999992287,up,1,90,up,0.5555102040816327,0.74,0.9230164000000514,2.1082287759568694,1.6991891369630694,conf,0.5,10,30,M,R,
,,3,Main,2,1.116035600000032,down,1,270,down,0.39387755102040817,0.69,0.8247399000001678,3.1927924325792088,2.0787172017708944,conf,0.5,10,30,M,R,
,,3,Main,3,0.7859809999999925,down,1,270,down,0.7171428571428571,0.73,0.9655403999995542,2.071252507927218,3.2970254575487026,conf,0.5,10,30,M,R,
,,3,Main,4,1.5029999000007592,down,1,270,down,0.05040816326530612,0.5,1.207809599999564,4.897386331888414,2.386161823611757,conf,0.5,10,30,M,R,
,,3,Main,5,0.8129668000001402,up,1,90,up,0.7979591836734694,1.0,1.4178218000006382,2.5133135595448706,2.1538783048728742,conf,0.5,10,30,M,R,
,,3,Main,6,0.8448334000004252,down,1,270,down,0.7171428571428571,0.93,1.3649163000000044,4.1653003874702454,2.2499232985846636,conf,0.5,10,30,M,R,
,,3,Main,7,1.9995658999996522,up,1,90,up,0.05040816326530612,0.62,1.1625497000004543,4.372161868091597,3.2777814439295954,conf,0.5,10,30,M,R,
,,3,Main,8,1.1046415000000707,up,1,90,up,0.5555102040816327,0.73,1.0930344000007608,3.62991324323703,3.470442455164145,conf,0.5,10,30,M,R,
,,3,Main,9,1.5291724999997314,down,1,270,down,0.45448979591836736,0.67,1.0228601000007984,3.7911451099542424,2.9291734146414687,conf,0.5,10,30,M,R,
,,3,Main,10,0.8519648000001325,down,1,270,down,0.8383673469387755,1.0,1.4428726999994979,4.745291505195885,2.551067256379779,conf,0.5,10,30,M,R,
,,3,Main,11,1.5985029999992548,down,1,270,down,0.45448979591836736,0.69,1.177925499999219,4.239462942342513,2.0827066475443012,conf,0.5,10,30,M,R,
,,3,Main,12,1.5985029999992548,[],0,270,down,0.1716326530612245,None,None,None,2.979414188091211,None,None,10,30,M,R,
,,3,Main,13,0.9155251000001954,up,1,90,up,0.6161224489795918,0.86,1.28190320000067,4.4368073726005814,1.7640946487934372,conf,0.5,10,30,M,R,
,,3,Main,14,0.8479940999995961,up,1,90,up,0.4746938775510204,0.87,1.1472959000002447,2.70197602793166,3.274002288086989,conf,0.5,10,30,M,R,
,,3,Main,15,0.9251866999993581,up,1,90,up,0.45448979591836736,0.93,1.2524536999999327,2.070978355222886,3.154615414435014,conf,0.5,10,30,M,R,
,,3,Main,16,1.5630920000003243,up,1,90,up,0.05040816326530612,0.64,1.2257496000001993,4.422528665284224,3.7124064988935572,conf,0.5,10,30,M,R,
,,3,Main,17,0.8041381999992154,up,1,90,up,0.7171428571428571,0.93,1.2269730999996682,4.314040573346988,3.3351547540347366,conf,0.5,10,30,M,R,
,,3,Main,18,0.8041381999992154,[],0,270,down,0.6969387755102041,None,None,None,1.5836626823368072,None,None,10,30,M,R,
,,3,Main,19,0.7771784000005937,up,1,90,up,0.6969387755102041,0.84,1.1122175999998944,4.717475323706706,3.329078094054461,conf,0.5,10,30,M,R,
,,3,Main,20,1.1201341999994838,down,1,270,down,0.7373469387755102,0.58,1.7424030000001949,3.430361846339919,2.679171138999189,conf,0.5,10,30,M,R,
,,3,Main,21,1.3695385000000897,down,1,270,down,0.7979591836734694,0.57,1.3373004000004585,4.000782588223105,1.5174779295248622,conf,0.5,10,30,M,R,
,,3,Main,22,1.3457200999991983,down,1,270,down,0.8383673469387755,0.62,1.4691867999999886,2.7766337054510104,3.556877174148912,conf,0.5,10,30,M,R,
,,3,Main,23,1.5266631999993479,up,1,90,up,0.15142857142857144,0.55,0.9843724000002112,3.8780894915343773,2.997718263493778,conf,0.5,10,30,M,R,
,,3,Main,24,1.5266631999993479,[],0,90,up,0.333265306122449,None,None,None,3.8835629168360537,None,None,10,30,M,R,
,,3,Main,25,1.064664499999708,down,1,270,down,0.7373469387755102,0.68,1.7994389999994382,4.7193717701323905,1.3378295907788222,conf,0.5,10,30,M,R,
,,3,Main,26,0.8131794999999329,down,1,270,down,0.5757142857142857,0.67,1.5180147000000943,3.2969294706463064,2.512246353325537,conf,0.5,10,30,M,R,
,,3,Main,27,0.8209329999999682,up,1,90,up,0.7171428571428571,0.85,1.030884199999491,2.7735252033589397,1.9555129609067756,conf,0.5,10,30,M,R,
,,3,Main,28,1.2750858999997945,down,1,270,down,0.8383673469387755,0.77,0.9871674999994866,3.256034228807074,3.9978959262153753,conf,0.5,10,30,M,R,
,,3,Main,29,1.0849548999995022,down,1,270,down,0.7373469387755102,0.6,1.0595037000002776,2.9269044852211583,2.7690258868954043,conf,0.5,10,30,M,R,
,,3,Main,30,1.679070999999567,down,1,270,down,0.4342857142857143,0.57,1.488141099999666,4.976221680248517,3.253947041747692,conf,0.5,10,30,M,R,
,,3,Main,31,1.4133630000005724,down,1,270,down,0.6363265306122449,0.65,2.928333400000156,3.6208313595826236,2.2136282278336274,conf,0.5,10,30,M,R,
,,3,Main,32,1.4133630000005724,[],0,90,up,0.2726530612244898,None,None,None,2.3475980875153133,None,None,10,30,M,R,
,,3,Main,33,0.9980156999999963,down,1,270,down,0.333265306122449,0.64,0.820517000000109,2.9115920781269464,2.7936017955789643,conf,0.5,10,30,M,R,
,,3,Main,34,0.8546850999991875,up,1,90,up,0.5555102040816327,0.88,1.1923194999999396,3.4468123718727814,2.0621531202260104,conf,0.5,10,30,M,R,
