thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,2,SC coherence,44,0.4479053999993994,down,1,270,down,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,45,0.4493578999999954,up,1,90,up,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,46,0.39759269999922253,down,1,270,down,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,47,0.4262952999997651,up,1,90,up,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,48,0.49479080000037357,up,1,90,up,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,49,0.4146805000000313,down,1,270,down,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,50,0.5648522000001321,down,1,270,down,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,51,0.6155751999995118,down,0,90,up,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,52,0.9991620999999213,up,1,90,up,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,53,0.8156249000003299,up,0,270,down,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,54,1.1873917999992045,up,1,90,up,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,55,0.8667134999996051,up,1,90,up,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,56,0.8162871000004088,up,1,90,up,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,57,0.9268898999998783,up,1,90,up,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,58,1.0331232999997155,up,0,270,down,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,59,0.8095897000002878,down,1,270,down,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,60,0.9804438999999547,down,1,270,down,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,61,0.6312183999998524,down,1,270,down,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,62,0.6651537999996435,down,0,90,up,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,63,0.683791200000087,up,1,90,up,0.25833333333333336,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,64,0.6698208999996496,down,1,270,down,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,65,0.5242266999994172,down,1,270,down,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,66,0.9656168999999863,up,1,90,up,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,67,0.5321060000005673,up,0,270,down,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,68,0.5996726000003036,up,1,90,up,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,69,0.7589963999998872,up,1,90,up,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,70,0.7999524999995629,up,1,90,up,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,71,0.8840346999995745,down,1,270,down,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,72,1.4003802000006544,up,1,90,up,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,73,1.0668639999994411,up,0,270,down,0.14166666666666666,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,74,0.5948017000000618,down,1,270,down,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,75,0.5021904000004724,up,1,90,up,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,76,0.6991527999998652,down,1,270,down,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,77,0.7487493999997241,up,1,90,up,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,78,0.6341749999992317,down,1,270,down,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
