thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,start_conf,subject,age,gender,handedness,
,,4,Main,21,0.435061999998652,down,1,270,down,0.15142857142857144,control,0.8799999999999999,1.13601959999869,3.9362450322376663,2.313280244003352,0.4004199219511824,6,22,M,R,
,,4,Main,22,0.5504020000007586,up,1,90,up,0.2120408163265306,conf,0.9199999999999999,2.730607700001201,2.4729447774163806,1.999279471820614,0.2640582045615044,6,22,M,R,
,,4,Main,23,0.5469752000008157,up,1,90,up,0.09081632653061224,conf,0.96,1.3237289999997301,2.909808396033443,1.2854539855350955,0.4811263086357198,6,22,M,R,
,,4,Main,24,0.4937664999997651,up,1,90,up,0.13122448979591836,conf,1.0,1.0751303999986703,2.436948247380335,3.9624301528555517,0.5563024147177272,6,22,M,R,
,,4,Main,25,0.5016351999984181,up,1,90,up,0.07061224489795918,conf,0.7,1.6156952999990608,2.1892622146709027,3.2983843601396856,0.31088769361979685,6,22,M,R,
,,4,Main,26,0.6152383999997255,down,1,270,down,0.1716326530612245,control,0.9199999999999999,1.4192851000007067,2.9312971655229774,3.6588550729196028,0.2961437695987178,6,22,M,R,
,,4,Main,27,1.125244600001679,down,0,90,up,0.01,conf,0.08000000000000007,1.203281699999934,2.5899702613952327,1.2329333978282304,0.4653018848848454,6,22,M,R,
,,4,Main,28,0.6623641000005591,down,1,270,down,0.13122448979591836,control,0.94,1.2444175000000541,3.0206371590400947,3.7164016038262444,0.637510517788536,6,22,M,R,
,,4,Main,29,0.7827307999996265,down,0,90,up,0.01,conf,0.9199999999999999,1.6354997999987972,3.867181150595692,3.933522585431068,0.5375681386594803,6,22,M,R,
,,4,Main,30,0.7306821999991371,down,1,270,down,0.15142857142857144,conf,0.8999999999999999,1.9319118000003073,2.6026062999784205,2.35053788870746,0.5156241046837698,6,22,M,R,
,,4,Main,31,0.6128066000001127,up,1,90,up,0.23224489795918368,conf,0.8999999999999999,1.479776899999706,2.0176087227066266,1.6091175066503864,0.33578503659307607,6,22,M,R,
,,4,Main,32,0.6678530999997747,down,1,270,down,0.09081632653061224,conf,-0.12,1.124881199999436,3.445104148533145,2.3528530256258944,0.6807098231125205,6,22,M,R,
,,4,Main,33,0.5937379000006331,up,1,90,up,0.2524489795918367,conf,0.8999999999999999,2.076700300000084,4.022689672926666,2.232950028151061,0.48748596629606283,6,22,M,R,
,,4,Main,34,0.5632634000012331,down,1,270,down,0.1716326530612245,control,0.8799999999999999,1.2150139000004856,4.903239053746343,2.17131982461496,0.2750500981924166,6,22,M,R,
