"","thisRow.t","notes","block","Trialtype","withinblocktrial","RTdec","resp","cor","dots.direction","cor_resp","coherence","scale","SR_conf","RTrating","interval","interTrial.interval","subject","age","gender","handedness"
"96",NA,NA,2,"Main",45,0.924705500001437,"down",1,270,"down",0.252448979591837,"conf",0.66,"1.3708757999993395",2.69756882606391,2.65492505063738,0,22,"M","R"
"97",NA,NA,3,"Main",0,0.910889899998438,"down",0,90,"up",0.171632653061224,"conf",0.4,"0.7886464999974123",3.33512837605872,2.48133123705207,0,22,"M","R"
"98",NA,NA,3,"Main",1,1.37217559999772,"up",0,270,"down",0.292857142857143,"conf",0.5,"0.37700219999896945",3.63983148563171,1.47263959743321,0,22,"M","R"
"99",NA,NA,3,"Main",2,0.829364999997779,"down",1,270,"down",0.393877551020408,"conf",0.85,"1.7693006000008609",4.84257652810506,2.2553440839317,0,22,"M","R"
"100",NA,NA,3,"Main",3,0.678049599999213,"down",1,270,"down",0.333265306122449,"conf",0.55,"0.8188627999988967",1.81838268294703,2.55856360893219,0,22,"M","R"
"101",NA,NA,3,"Main",4,0.812095299999783,"up",1,90,"up",0.333265306122449,"conf",0.77,"0.6331881999976758",4.04268042279983,1.02039146932396,0,22,"M","R"
"102",NA,NA,3,"Main",5,0.731362200000149,"up",1,90,"up",0.292857142857143,"conf",0.83,"0.8256493000008049",4.75050902694504,2.07301119235981,0,22,"M","R"
"103",NA,NA,3,"Main",6,0.66522619999887,"up",1,90,"up",0.27265306122449,"conf",0.78,"1.0012353000020084",2.93894994313156,2.17386776247844,0,22,"M","R"
"104",NA,NA,3,"Main",7,1.01231719999851,"down",1,270,"down",0.333265306122449,"control",0.59,"1.2474123000029067",4.65923810286901,3.58623961507443,0,22,"M","R"
"105",NA,NA,3,"Main",8,0.701469899999211,"up",1,90,"up",0.191836734693878,"control",0.6,"1.251784600000974",2.07618184529691,3.52359220011246,0,22,"M","R"
"106",NA,NA,3,"Main",9,0.664128399999754,"down",1,270,"down",0.313061224489796,"conf",0.57,"0.866571099999419",3.69511643484562,3.33648723603053,0,22,"M","R"
"107",NA,NA,3,"Main",10,1.26755649999905,"up",0,270,"down",0.171632653061224,"conf",0.5,"0.7483042999992904",4.23208360346075,2.74453105528887,0,22,"M","R"
"108",NA,NA,3,"Main",11,0.992487900002743,"up",1,90,"up",0.232244897959184,"conf",0.56,"0.8626814000017475",4.39341571742729,2.94247887745938,0,22,"M","R"
"109",NA,NA,3,"Main",12,0.877644000000146,"up",1,90,"up",0.333265306122449,"conf",0.68,"2.1149045000020124",4.97719125676924,3.50191391130668,0,22,"M","R"
"110",NA,NA,3,"Main",13,0.74919779999982,"up",0,270,"down",0.27265306122449,"control",0.5,"1.0860181999996712",2.47533864351274,3.48633817677326,0,22,"M","R"
"111",NA,NA,3,"Main",14,0.717316800000845,"up",0,270,"down",0.333265306122449,"conf",0.5,"0.8118631999968784",3.95116607942998,1.99798530390517,0,22,"M","R"
"112",NA,NA,3,"Main",15,0.655677599999763,"up",1,90,"up",0.373673469387755,"conf",0.68,"1.7138636999989103",2.20334324383526,1.60888991929652,0,22,"M","R"
"113",NA,NA,3,"Main",16,0.873388799998793,"up",0,270,"down",0.292857142857143,"control",0.59,"0.9191016000004311",3.9822306134646,1.91840097215042,0,22,"M","R"
"114",NA,NA,3,"Main",17,0.650944799999706,"up",1,90,"up",0.434285714285714,"control",0.71,"1.0584357000007003",4.45341334989718,2.22333308364042,0,22,"M","R"
"115",NA,NA,3,"Main",18,0.895815100000618,"up",1,90,"up",0.47469387755102,"conf",0.85,"1.9137300000002142",2.35909900310411,2.66170248944627,0,22,"M","R"
"116",NA,NA,3,"Main",19,0.642015200002788,"down",1,270,"down",0.373673469387755,"conf",0.74,"1.0263791000033962",2.87709187448074,1.75439019492906,0,22,"M","R"
"117",NA,NA,3,"Main",20,0.780337299998791,"down",1,270,"down",0.47469387755102,"conf",0.71,"1.2346139999972365",2.23800822358863,1.38085877086125,0,22,"M","R"
"118",NA,NA,3,"Main",21,0.921395000001212,"down",1,270,"down",0.393877551020408,"conf",0.68,"2.1109333999993396",2.87155598016651,1.47106313787135,0,22,"M","R"
"119",NA,NA,3,"Main",22,0.663669699999446,"up",1,90,"up",0.454489795918367,"conf",0.79,"0.9119326000000001",4.03104312690833,3.53509587312108,0,22,"M","R"
"120",NA,NA,3,"Main",23,0.968716699997458,"up",1,90,"up",0.454489795918367,"conf",0.81,"1.0837003999986337",2.91077366238004,3.28518176791566,0,22,"M","R"
"121",NA,NA,3,"Main",24,0.620143000000098,"down",1,270,"down",0.353469387755102,"conf",0.75,"1.2293505999987246",1.90132109075002,3.20450075053887,0,22,"M","R"
"122",NA,NA,3,"Main",25,0.650352900000144,"up",1,90,"up",0.353469387755102,"control",0.66,"1.0203667000023415",3.9086491199064,2.32107529664622,0,22,"M","R"
"123",NA,NA,3,"Main",26,0.701220799997827,"up",1,90,"up",0.393877551020408,"conf",0.72,"1.3946656999978586",3.30288442134694,2.60321875372462,0,22,"M","R"
"124",NA,NA,3,"Main",27,0.648666100001719,"up",1,90,"up",0.393877551020408,"conf",0.79,"1.41821279999931",4.04282183770595,1.32369678374757,0,22,"M","R"
"125",NA,NA,3,"Main",28,0.729507099997136,"down",1,270,"down",0.313061224489796,"conf",0.66,"1.3361927999976615",2.15515505875974,3.17126065069141,0,22,"M","R"
"126",NA,NA,3,"Main",29,0.849343099998805,"down",1,270,"down",0.252448979591837,"conf",0.5,"0.38802250000298955",3.2553177231808,2.35267531319446,0,22,"M","R"
"127",NA,NA,3,"Main",30,0.898235000000568,"down",1,270,"down",0.232244897959184,"conf",0.43,"0.9187644000012369",4.62481533056088,2.18105661309859,0,22,"M","R"
"128",NA,NA,3,"Main",31,1.42091720000099,"up",1,90,"up",0.292857142857143,"conf",0.56,"1.1344795000004524",3.14655257432386,3.63204581033316,0,22,"M","R"
"129",NA,NA,3,"Main",32,0.655163999999786,"up",1,90,"up",0.292857142857143,"control",0.15,"2.0460915000003297",4.18859661575081,2.67431768199995,0,22,"M","R"
"130",NA,NA,3,"Main",33,0.7982305000005,"down",1,270,"down",0.252448979591837,"conf",0.41,"1.668722100002924",4.39248504727966,3.48844516706542,0,22,"M","R"
"131",NA,NA,3,"Main",34,0.631969299996854,"up",1,90,"up",0.292857142857143,"conf",0.82,"1.0066277000005357",4.72119888910595,3.06713623244786,0,22,"M","R"
"132",NA,NA,3,"Main",35,0.621607500001119,"up",1,90,"up",0.292857142857143,"conf",0.95,"1.3926337999982934",1.62177597993174,2.46035254607163,0,22,"M","R"
"133",NA,NA,3,"Main",36,0.628540800000337,"down",1,270,"down",0.27265306122449,"conf",0.7,"1.2304338999965694",3.74337004836251,1.21245026084189,0,22,"M","R"
"134",NA,NA,3,"Main",37,0.789892299999337,"down",1,270,"down",0.212040816326531,"conf",0.59,"1.0316579999998794",1.68444148458459,1.99286664911152,0,22,"M","R"
"135",NA,NA,3,"Main",38,0.892972200002987,"up",1,90,"up",0.232244897959184,"conf",0.7,"1.2942425000001094",3.75926927364317,3.95427473147163,0,22,"M","R"
"136",NA,NA,3,"Main",39,0.58216039999752,"up",1,90,"up",0.27265306122449,"conf",0.91,"0.855019300001004",3.30603980427427,2.89112734328211,0,22,"M","R"
"137",NA,NA,3,"Main",40,0.680425700000342,"down",1,270,"down",0.252448979591837,"conf",0.6,"1.2907677000002877",4.03340564310983,2.77478692209459,0,22,"M","R"
"138",NA,NA,3,"Main",41,0.995926799998415,"down",0,90,"up",0.212040816326531,"conf",0.5,"0.35927499999888823",3.16514619544511,2.28602535338824,0,22,"M","R"
"139",NA,NA,3,"Main",42,0.666491100000712,"down",1,270,"down",0.171632653061224,"conf",0.58,"0.9854107999999542",4.31125129030782,2.62533241670966,0,22,"M","R"
"140",NA,NA,3,"Main",43,1.19574099999954,"up",1,90,"up",0.252448979591837,"control",0.55,"2.7193125000012515",2.83707589888437,2.00370732225837,0,22,"M","R"
"141",NA,NA,3,"Main",44,0.817144399999961,"down",1,270,"down",0.191836734693878,"control",0.5,"0.9750983999983873",1.66766616127473,2.06095759593363,0,22,"M","R"
"142",NA,NA,3,"Main",45,0.792877600000793,"down",1,270,"down",0.131224489795918,"control",0.53,"1.1066304999985732",4.13113771260113,2.37771832698288,0,22,"M","R"
"143",NA,NA,4,"Main",0,0.859122099998785,"down",1,270,"down",0.0908163265306122,"conf",0.42,"1.0745986000001722",4.39683254378963,2.79907740795139,0,22,"M","R"
"144",NA,NA,4,"Main",1,0.821020299998054,"up",1,90,"up",0.0504081632653061,"conf",0.5,"0.47040449999985867",3.74418902084469,2.92528353995825,0,22,"M","R"
"145",NA,NA,4,"Main",2,0.811722800001007,"down",1,270,"down",0.191836734693878,"conf",0.5,"0.9543899000018428",2.23471548441516,1.07894384723579,0,22,"M","R"
"146",NA,NA,4,"Main",3,0.689312700000301,"up",1,90,"up",0.212040816326531,"control",0.56,"0.7830156999989413",1.6667710467657,2.78001129021398,0,22,"M","R"
"147",NA,NA,4,"Main",4,0.606337799999892,"down",1,270,"down",0.171632653061224,"conf",0.6,"1.0929563000026974",4.77574211600192,1.97529891056311,0,22,"M","R"
"148",NA,NA,4,"Main",5,0.660613699998066,"down",1,270,"down",1,"conf",0.98,"0.8229357999989588",3.70109576254305,2.51876276733715,0,22,"M","R"
"149",NA,NA,4,"Main",6,0.960570499999449,"up",1,90,"up",0.0908163265306122,"conf",0.56,"0.7472806000005221",4.42668252064394,2.18261893021065,0,22,"M","R"
"150",NA,NA,4,"Main",7,0.668586199997662,"up",1,90,"up",0.959591836734694,"conf",0.98,"1.0326795999972092",4.76465300019625,2.73561704838336,0,22,"M","R"
"151",NA,NA,4,"Main",8,0.60042919999978,"down",1,270,"down",0.979795918367347,"conf",0.96,"1.2526268000001437",3.7615433427699,3.41050246291617,0,22,"M","R"
"152",NA,NA,4,"Main",9,0.778700300001219,"up",1,90,"up",0.01,"conf",0.48,"0.6929056000008131",2.66335702095768,3.45473609775216,0,22,"M","R"
"153",NA,NA,4,"Main",10,0.831769799999165,"down",1,270,"down",0.979795918367347,"conf",0.94,"1.0066144000011263",2.05161782497368,1.3052459784406,0,22,"M","R"
"154",NA,NA,4,"Main",11,0.797758199998498,"up",1,90,"up",0.191836734693878,"conf",0.5,"0.3858788999968965",4.00465863745508,2.5318602591981,0,22,"M","R"
"155",NA,NA,4,"Main",12,0.97025599999688,"up",1,90,"up",0.212040816326531,"conf",0.73,"0.7775145999985398",4.30251580677685,3.04444661301501,0,22,"M","R"
"156",NA,NA,4,"Main",13,1.29361029999927,"down",1,270,"down",0.131224489795918,"conf",0.5,"0.3311040000007779",4.37411919726576,2.83144896328866,0,22,"M","R"
"157",NA,NA,4,"Main",14,0.724308300003031,"up",0,270,"down",0.0706122448979592,"conf",0.57,"1.704987400000391",2.63123011730048,1.85779223997904,0,22,"M","R"
"158",NA,NA,4,"Main",15,0.776907900002698,"up",0,270,"down",0.191836734693878,"conf",0.5,"1.3148170999993454",1.60358219083152,3.40136640816514,0,22,"M","R"
"159",NA,NA,4,"Main",16,1.10294650000287,"down",1,270,"down",0.01,"conf",0.44,"1.1610196000001451",4.48818949621777,2.14950582878517,0,22,"M","R"
"160",NA,NA,4,"Main",17,0.894334200002049,"up",1,90,"up",1,"control",0.98,"1.2684310999975423",4.75565196670587,3.35104731786579,0,22,"M","R"
"161",NA,NA,4,"Main",18,0.635838700000022,"up",1,90,"up",0.111020408163265,"conf",0.93,"1.0903496999999334",4.8556630000889,3.84283901278857,0,22,"M","R"
"162",NA,NA,4,"Main",19,0.678675099999964,"down",1,270,"down",0.979795918367347,"conf",0.97,"1.1622284000004584",4.07989020401403,1.56316582523768,0,22,"M","R"
"163",NA,NA,4,"Main",20,0.620692899999995,"up",1,90,"up",0.939387755102041,"conf",0.98,"0.7622873000000254",3.27056736190506,1.68798652554672,0,22,"M","R"
"164",NA,NA,4,"Main",21,1.19921169999725,"down",1,270,"down",0.151428571428571,"conf",0.57,"0.645377600001666",3.88194850881324,2.56330656507344,0,22,"M","R"
"165",NA,NA,4,"Main",22,0.707171599999128,"up",1,90,"up",0.131224489795918,"control",0.04,"2.120739699999831",3.66553012933165,1.98461371813194,0,22,"M","R"
"166",NA,NA,4,"Main",23,0.634278699999413,"down",1,270,"down",0.959591836734694,"conf",0.95,"2.949211999999534",3.31403307116035,1.90199245004119,0,22,"M","R"
