thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,sub,age,gender,handedness,
,,2,SC coherence,42,0.44576280000183033,down,1,270,down,0.2,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,43,0.41066240000145626,down,0,90,up,0.2,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,44,0.70981159999792,up,1,90,up,0.3,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,45,0.36110390000249026,down,1,270,down,0.2833333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,46,0.6109725999995135,up,1,90,up,0.2833333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,47,0.36128480000115815,up,1,90,up,0.2833333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,48,0.3288520000023709,down,1,270,down,0.2833333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,49,0.41078140000172425,down,1,270,down,0.2833333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,50,0.4272166000009747,up,1,90,up,0.25833333333333336,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,51,0.37509140000111074,down,0,90,up,0.25833333333333336,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,52,0.3747030000013183,down,1,270,down,0.4166666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,53,0.3591108999971766,down,1,270,down,0.4,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,54,0.9453665999972145,up,1,90,up,0.4,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,55,0.40776240000195685,up,1,90,up,0.4,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,56,0.37960129999919445,up,1,90,up,0.4,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,57,nan,[],0,270,down,0.38333333333333336,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,58,0.6634758999971382,down,1,270,down,0.6416666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,59,0.42573210000045947,down,1,270,down,0.6166666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,60,0.34662589999788906,up,1,90,up,0.6166666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
