thisRow.t,notes,it,a,b,a_est,b_est,sub,age,gender,handedness,
,,50,0.01,2.0,0.020000065902975723,3.5308352850671127,0,30,Man,Right,
,,51,0.03,2.0,0.039499499771409124,4.278689416759481,0,30,Man,Right,
,,52,0.10999999999999997,0.5,0.16502805697628345,0.696254538122901,0,30,Man,Right,
,,53,0.44999999999999996,4.5,0.4063427711432016,3.5863895586222587,0,30,Man,Right,
,,54,0.38999999999999996,4.0,0.3210108450404775,2.4012078755685726,0,30,Man,Right,
,,55,0.57,6.0,0.4797476147235313,3.6654569397978958,0,30,Man,Right,
,,56,0.6099999999999999,2.0,0.6207554831408901,3.2954412096896415,0,30,Man,Right,
,,57,0.4099999999999999,3.0,0.42956022072118105,3.5996108847534996,0,30,Man,Right,
,,58,0.20999999999999996,2.5,0.2005668784814863,2.524516413506609,0,30,Man,Right,
,,59,0.15,1.5,0.1301936325241337,2.1404343007037876,0,30,Man,Right,
,,60,0.12999999999999998,1.5,0.14724941001197156,3.298748556850018,0,30,Man,Right,
,,61,0.18999999999999997,2.0,0.22898666277448093,3.119073106688642,0,30,Man,Right,
,,62,0.26999999999999996,2.5,0.2663300966742317,2.8400829032484114,0,30,Man,Right,
,,63,0.32999999999999996,4.5,0.33301163754936136,5.2213632128462555,0,30,Man,Right,
,,64,0.35,4.5,0.34656656186265977,3.1083163109874556,0,30,Man,Right,
,,65,0.30999999999999994,3.5,0.30409629072711747,4.690359512864642,0,30,Man,Right,
,,66,0.26999999999999996,1.5,0.2910263804646648,2.3346548237692293,0,30,Man,Right,
,,67,0.22999999999999998,1.5,0.3070331811020692,1.840257810686391,0,30,Man,Right,
,,68,0.18999999999999997,2.5,0.21882271057043076,3.377089586175225,0,30,Man,Right,
,,69,0.10999999999999997,2.5,0.09604887550197194,3.2035992367826536,0,30,Man,Right,
,,70,0.10999999999999997,6.5,0.09857852103445922,3.906148629916475,0,30,Man,Right,
,,71,0.08999999999999998,0.5,0.1842179371139499,1.586519108846649,0,30,Man,Right,
,,72,0.4699999999999999,2.5,0.5654910581596381,4.481014635507879,0,30,Man,Right,
,,73,0.26999999999999996,1.0,0.3122458267613312,2.8486627724230935,0,30,Man,Right,
,,74,0.24999999999999997,1.0,0.3488941906100462,1.436338884180532,0,30,Man,Right,
,,75,0.48999999999999994,4.0,0.43791087680920276,3.9823707640709394,0,30,Man,Right,
,,76,0.9299999999999998,1.5,0.6450929918812118,1.2289559130946097,0,30,Man,Right,
,,77,0.03,3.5,0.020000065902975723,3.5308352850671127,0,30,Man,Right,
,,78,0.59,5.0,0.5416074143663329,3.729014448238191,0,30,Man,Right,
,,79,0.35,5.5,0.28775157951501706,4.685510953291498,0,30,Man,Right,
,,80,0.24999999999999997,1.5,0.26342136628244317,1.777972323087049,0,30,Man,Right,
,,81,0.5099999999999999,0.5,0.49249055669278263,0.5153280647789236,0,30,Man,Right,
,,82,0.06999999999999999,2.0,0.07917009782915234,3.0380113520657375,0,30,Man,Right,
,,83,0.36999999999999994,0.5,0.28600048981877296,0.5224422692521029,0,30,Man,Right,
,,84,0.29,4.5,0.27465192437088737,3.0202139713719443,0,30,Man,Right,
,,85,0.69,4.5,0.6553150953093188,4.076035451186342,0,30,Man,Right,
,,86,0.18999999999999997,2.0,0.16623132406638091,2.4924376302973967,0,30,Man,Right,
,,87,0.16999999999999998,0.5,0.32649773097749407,0.6635918752854512,0,30,Man,Right,
,,88,0.16999999999999998,1.0,0.21739621050537228,0.9644623531763196,0,30,Man,Right,
,,89,0.38999999999999996,2.5,0.2942615053362181,1.6705939045823797,0,30,Man,Right,
,,90,0.26999999999999996,3.5,0.3042464980873753,3.923217520580885,0,30,Man,Right,
,,91,0.08999999999999998,1.5,0.10523431161264994,2.2832128967312153,0,30,Man,Right,
,,92,0.12999999999999998,1.5,0.10898034328487703,2.046672085565457,0,30,Man,Right,
,,93,0.18999999999999997,4.5,0.18797466444401567,3.5475939199946054,0,30,Man,Right,
,,94,0.01,6.5,0.020000065902975723,3.5308352850671127,0,30,Man,Right,
,,95,0.44999999999999996,6.5,0.40351583329954416,3.5701440029690685,0,30,Man,Right,
,,96,0.29,2.0,0.30476573583622846,3.602366996665656,0,30,Man,Right,
,,97,0.48999999999999994,2.0,0.5590693661536575,4.238380312119355,0,30,Man,Right,
,,98,0.22999999999999998,2.5,0.2288496715043249,3.2161766163780983,0,30,Man,Right,
,,99,0.29,3.0,0.2723192052653492,2.4122450169548495,0,30,Man,Right,
