thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,sub,age,gender,handedness,
,,2,SC coherence,35,0.9748981999873649,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,36,0.7610355999786407,up,1,90,up,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,37,0.3625273999932688,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,38,0.5277001000067685,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,39,0.627617200021632,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,40,0.8883227999904193,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,41,1.0446351999999024,up,1,90,up,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,42,1.24577209999552,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,43,0.7049218000029214,up,1,90,up,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,44,0.45457290002377704,up,1,90,up,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,45,0.392322100000456,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,46,0.7099416999844834,down,0,90,up,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,47,0.45445180000388063,up,1,90,up,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,48,0.5415925999986939,up,1,90,up,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,49,0.44224480001139455,up,1,90,up,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,50,0.5835003000102006,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,51,0.4801607000117656,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,52,0.45582120001199655,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,53,0.4790138999815099,up,1,90,up,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,54,0.5722005999996327,up,1,90,up,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,55,0.6245350000099279,up,1,90,up,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,56,0.41064190000179224,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,57,0.5770922999945469,up,1,90,up,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,58,0.5635850999969989,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,59,0.5777282000053674,down,0,90,up,0.08333333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,60,0.5427066999836825,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,61,0.546331999998074,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,62,0.7083908999920823,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,63,1.0419392999901902,up,1,90,up,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,64,0.4715063000039663,down,1,270,down,0.08333333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,65,0.5573542999918573,down,0,90,up,0.08333333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,66,0.6118123999913223,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,67,0.5604671000037342,down,1,270,down,0.1,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,68,0.5444747000001371,down,0,90,up,0.08333333333333333,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,69,0.4953741999925114,up,1,90,up,0.11666666666666667,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,70,0.5753829999885056,down,1,270,down,0.11666666666666667,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,71,0.5773536000051536,up,1,90,up,0.11666666666666667,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,72,0.45812679998925887,up,1,90,up,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,73,0.47673319999012165,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,74,0.5286105000122916,down,1,270,down,0.11666666666666667,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,75,0.49496529999305494,up,1,90,up,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,76,0.4779203999787569,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,77,0.4854998999799136,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,78,0.43012559998896904,down,1,270,down,0.14166666666666666,10.184279132818478,,,,,,,0,30,Man,Right,
,,2,SC coherence,79,0.7277077000180725,up,1,90,up,0.11666666666666667,10.184279132818478,,,,,,,0,30,Man,Right,
,,3,Training - scale,0,0.6221396999899298,down,1,270,down,0.4,,0.12,0.6443094999995083,,,,,0,30,Man,Right,
,,3,Training - scale,1,0.13485649999347515,up,1,90,up,0.7000000000000001,,0.5,0.41445959999691695,,,,,0,30,Man,Right,
,,3,Training - scale,2,0.45064360002288595,down,0,90,up,0.30000000000000004,,0.76,0.6325642999727279,,,,,0,30,Man,Right,
,,3,Training - scale,3,0.11892720000469126,down,0,90,up,0.2,,0.5,0.012611800018930808,,,,,0,30,Man,Right,
,,3,Training - scale,4,0.4893523000064306,up,1,90,up,0.9,,0.78,0.4312246000044979,,,,,0,30,Man,Right,
,,3,Training - scale,5,0.46734380000270903,down,1,270,down,0.6,,0.14,0.43027499999152496,,,,,0,30,Man,Right,
,,3,Training - scale,6,0.5220588000083808,up,1,90,up,0.1,,0.76,0.7963444000051823,,,,,0,30,Man,Right,
,,3,Training - scale,7,0.6658081999921706,down,1,270,down,0.8,,0.5,0.31507039998541586,,,,,0,30,Man,Right,
,,3,Training - scale,8,0.501954300008947,down,1,270,down,0.5,,0.5,0.4477224000147544,,,,,0,30,Man,Right,
,,3,Training - scale,9,0.5021821999980602,down,1,270,down,1.0,,0.5,0.34930590001749806,,,,,0,30,Man,Right,
,,2,Main,0,0.6246631999965757,up,1,90,up,0.06666666666666667,,0.86,0.3485586000024341,3.2079582274004514,2.3452205886563307,conf,0.5,0,30,Man,Right,
,,2,Main,1,0.4999253999849316,down,1,270,down,0.1,,0.09999999999999999,0.32803879998391494,3.3541731647038824,3.305664050928152,conf,0.5,0,30,Man,Right,
,,2,Main,2,0.7740476000180934,down,0,90,up,0.03333333333333333,,0.88,0.38163629997870885,4.124852044343852,1.6251711153537003,conf,0.5,0,30,Man,Right,
,,2,Main,3,0.4904693000135012,down,1,270,down,0.03333333333333333,,0.5,0.10509040000033565,4.667414173308403,2.2082127449462527,conf,0.5,0,30,Man,Right,
,,2,Main,4,0.8105464999971446,down,1,270,down,0.08333333333333333,,0.5,0.42600549999042414,2.0004608397666175,2.627001375459682,conf,0.5,0,30,Man,Right,
,,2,Main,5,0.6752661000064109,down,1,270,down,0.06666666666666667,,0.5,0.5722373000171501,2.8687459170542584,2.4681398596031436,conf,0.5,0,30,Man,Right,
,,2,Main,6,1.3975669000064954,up,1,90,up,0.08333333333333333,,0.5,0.35914330001105554,4.886913782807464,2.4666321181659314,conf,0.5,0,30,Man,Right,
,,2,Main,7,0.9985980000055861,up,1,90,up,0.1,,0.5,0.3017812999896705,2.5129599686275537,3.7707905119562737,conf,0.5,0,30,Man,Right,
