thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,SR_conf,interval,interTrial.interval,scale,start_conf,RTrating,sub,age,gender,handedness,
,,2,SC coherence,24,down,1,270,down,0.5583333333333333,0.4422873999992589,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,25,up,1,90,up,0.5583333333333333,0.4928159000010055,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,26,down,1,270,down,0.5583333333333333,0.3921178999989934,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,27,up,1,90,up,0.5583333333333333,0.45734839999931864,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,28,down,1,270,down,0.5416666666666666,0.4933469999996305,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,29,up,1,90,up,0.4166666666666667,0.9109487999994599,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,30,up,1,90,up,0.4166666666666667,0.4761348000010912,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,31,up,1,90,up,0.4,0.40914080000038666,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,32,up,0,270,down,0.38333333333333336,0.5253128000003926,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,33,up,1,90,up,0.5416666666666666,0.5273197999995318,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,34,down,1,270,down,0.5416666666666666,0.4256791999996494,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,35,up,1,90,up,0.5416666666666666,0.4579049000003579,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,36,up,1,90,up,0.4166666666666667,0.45668339999974705,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,37,down,1,270,down,0.4166666666666667,0.4938511999989714,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,38,down,1,270,down,0.4,0.6616557999986981,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,39,down,1,270,down,0.4,0.4774257999997644,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,40,up,1,90,up,0.38333333333333336,0.4258757000006881,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,41,up,1,90,up,0.38333333333333336,0.4778501000000688,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,42,down,1,270,down,0.35833333333333334,0.759311499999967,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,43,down,1,270,down,0.35833333333333334,0.49198140000044077,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,44,up,1,90,up,0.3416666666666667,0.811669200000324,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,45,down,1,270,down,0.3416666666666667,0.7104032000006555,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,46,up,1,90,up,0.31666666666666665,0.6418438000000606,3.18500028912677,,,,,,,14,7,7,,
